Year,Month,Country,Mode,TradeType,TradeValue,Weight,WeightLb
2007,11,Mexico,Rail,Export,1936982784.0,0.0,0.0
2007,11,Mexico,Rail,Import,2312072319.0,822133.12,1812491.12
2007,11,Mexico,Truck,Export,7794615385.0,0.0,0.0
2007,11,Mexico,Truck,Import,12203160144.0,2591790.05,5713912.18
2007,11,Mexico,Vessel,Export,1157242894.0,2556481.54,5636070.33
2007,11,Mexico,Vessel,Import,4340806774.0,9374178.26,20666500.88
2007,12,Canada,Air,Export,1522168642.0,18339.36,40431.32
2007,12,Canada,Air,Import,779454047.0,7054.85,15553.26
2007,12,Canada,Foreign Trade Zones (FTZs),Import,11305998.0,18168.17,40053.91
2007,12,Canada,Mail (U.S. Postal Service),Export,3810912.0,0.0,0.0
2007,12,Canada,Mail (U.S. Postal Service),Import,5437.0,0.48,1.06
2007,12,Canada,Other/Unknown,Export,1817687771.0,0.0,0.0
2007,12,Canada,Other/Unknown,Import,1039059512.0,482.47,1063.66
2007,12,Canada,Pipeline,Export,277376873.0,0.0,0.0
2007,12,Canada,Pipeline,Import,5099118819.0,7795585.54,17186303.79
2007,12,Canada,Rail,Export,2296087663.0,0.0,0.0
2007,12,Canada,Rail,Import,5060088433.0,6238087.45,13752612.35
2007,12,Canada,Truck,Export,13311948967.0,0.0,0.0
2007,12,Canada,Truck,Import,10693778933.0,4494974.15,9909709.91
2007,12,Canada,Vessel,Export,559777559.0,3217612.45,7093612.76
2007,12,Canada,Vessel,Import,1761962076.0,5971663.56,13165248.92
2007,12,Mexico,Air,Export,562693659.0,4588.02,10114.84
2007,12,Mexico,Air,Import,445122846.0,9195.1,20271.7
2007,12,Mexico,Foreign Trade Zones (FTZs),Import,53055385.0,4876.16,10750.08
2007,12,Mexico,Mail (U.S. Postal Service),Export,6044.0,0.0,0.0
2007,12,Mexico,Other/Unknown,Export,506524673.0,0.0,0.0
2007,12,Mexico,Other/Unknown,Import,247763875.0,125.78,277.3
2007,12,Mexico,Pipeline,Export,188879751.0,0.0,0.0
2007,12,Mexico,Pipeline,Import,17295621.0,26756.01,58986.83
2007,12,Mexico,Rail,Export,1539733593.0,0.0,0.0
2007,12,Mexico,Rail,Import,2077237468.0,783139.05,1726524.01
2007,12,Mexico,Truck,Export,6463217855.0,0.0,0.0
2007,12,Mexico,Truck,Import,10197905199.0,2281627.14,5030120.83
2007,12,Mexico,Vessel,Export,970795184.0,1823341.11,4019774.28
2007,12,Mexico,Vessel,Import,3704249411.0,8015696.28,17671564.33
2008,1,Canada,Air,Export,1502224298.0,19487.72,42963.02
2008,1,Canada,Air,Import,811887365.0,7168.94,15804.79
2008,1,Canada,Foreign Trade Zones (FTZs),Import,6348408.0,1340.38,2955.03
2008,1,Canada,Mail (U.S. Postal Service),Export,3471261.0,0.0,0.0
2008,1,Canada,Mail (U.S. Postal Service),Import,11476.0,0.08,0.18
2008,1,Canada,Other/Unknown,Export,1942365737.0,0.0,0.0
2008,1,Canada,Other/Unknown,Import,1230402159.0,737.18,1625.2
2008,1,Canada,Pipeline,Export,353186775.0,0.0,0.0
2008,1,Canada,Pipeline,Import,5983916934.0,8924930.84,19676081.03
2008,1,Canada,Rail,Export,2069053788.0,0.0,0.0
2008,1,Canada,Rail,Import,4947028528.0,6594152.92,14537601.41
2008,1,Canada,Truck,Export,13922344033.0,0.0,0.0
2008,1,Canada,Truck,Import,11584424633.0,5201133.46,11466522.85
2008,1,Canada,Vessel,Export,616374421.0,3550859.25,7828295.32
